Date,Price
2013-12-03,1795.2
2013-12-04,1792.8
2013-12-05,1785.0
2013-12-06,1805.1
2013-12-09,1808.4
2013-12-10,1802.6
2013-12-11,1782.2
2013-12-12,1775.5
2013-12-13,1775.3
2013-12-16,1786.5
2013-12-17,1781.0
2013-12-18,1810.7
2013-12-19,1809.6
2013-12-20,1818.3
2013-12-23,1828.0
2013-12-24,1833.3
2013-12-26,1842.0
2013-12-27,1841.4
2013-12-30,1841.1
2013-12-31,1848.4
2014-01-02,1832.0
2014-01-03,1831.4
2014-01-06,1826.8
2014-01-07,1837.9
2014-01-08,1837.5
2014-01-09,1838.1
2014-01-10,1842.4
2014-01-13,1819.2
2014-01-14,1838.9
2014-01-15,1848.4
2014-01-16,1845.9
2014-01-17,1838.7
2014-01-21,1843.8
2014-01-22,1844.9
2014-01-23,1828.5
2014-01-24,1790.3
2014-01-27,1781.6
2014-01-28,1792.5
2014-01-29,1774.2
2014-01-30,1794.2
2014-01-31,1782.6
2014-02-03,1741.9
2014-02-04,1755.2
2014-02-05,1751.6
2014-02-06,1773.4
2014-02-07,1797.0
2014-02-10,1799.8
2014-02-11,1819.8
2014-02-12,1819.3
2014-02-13,1829.8
2014-02-14,1838.6
2014-02-18,1840.8
2014-02-19,1828.8
2014-02-20,1839.8
2014-02-21,1836.2
2014-02-24,1847.6
2014-02-25,1845.1
2014-02-26,1845.2
2014-02-27,1854.3
2014-02-28,1859.5
2014-03-03,1845.7
2014-03-04,1873.9
2014-03-05,1873.8
2014-03-06,1877.0
2014-03-07,1878.0
2014-03-10,1877.2
2014-03-11,1867.6
2014-03-12,1868.2
2014-03-13,1846.3
2014-03-14,1841.1
2014-03-17,1858.8
2014-03-18,1872.2
2014-03-19,1860.8
2014-03-20,1872.0
2014-03-21,1866.5
2014-03-24,1857.4
2014-03-25,1865.6
2014-03-26,1852.6
2014-03-27,1849.0
2014-03-28,1857.6
2014-03-31,1872.3
2014-04-01,1885.5
2014-04-02,1890.9
2014-04-03,1888.8
2014-04-04,1865.1
2014-04-07,1845.0
2014-04-08,1852.0
2014-04-09,1872.2
2014-04-10,1833.1
2014-04-11,1815.7
2014-04-14,1830.6
2014-04-15,1843.0
2014-04-16,1862.3
2014-04-17,1864.8
2014-04-21,1871.9
2014-04-22,1879.5
2014-04-23,1875.4
2014-04-24,1878.6
2014-04-25,1863.4
2014-04-28,1869.4
2014-04-29,1878.3
2014-04-30,1884.0
2014-05-01,1883.7
2014-05-02,1881.1
2014-05-05,1884.7
2014-05-06,1867.7
2014-05-07,1878.2
2014-05-08,1875.6
2014-05-09,1878.5
2014-05-12,1896.7
2014-05-13,1897.5
2014-05-14,1888.5
2014-05-15,1870.8
2014-05-16,1877.9
2014-05-19,1885.1
2014-05-20,1872.8
2014-05-21,1888.0
2014-05-22,1892.5
2014-05-23,1900.5
2014-05-27,1911.9
2014-05-28,1909.8
2014-05-29,1920.0
2014-05-30,1923.6
2014-06-02,1925.0
2014-06-03,1924.2
2014-06-04,1927.9
2014-06-05,1940.5
2014-06-06,1949.4
2014-06-09,1951.3
2014-06-10,1950.8
2014-06-11,1943.9
2014-06-12,1930.1
2014-06-13,1936.2
2014-06-16,1937.8
2014-06-17,1942.0
2014-06-18,1957.0
2014-06-19,1959.5
2014-06-20,1962.9
2014-06-23,1962.6
2014-06-24,1950.0
2014-06-25,1959.5
2014-06-26,1957.2
2014-06-27,1961.0
2014-06-30,1960.2
2014-07-01,1973.3
2014-07-02,1974.6
2014-07-03,1985.4
2014-07-07,1977.7
2014-07-08,1963.7
2014-07-09,1972.8
2014-07-10,1964.7
2014-07-11,1967.6
2014-07-14,1977.1
2014-07-15,1973.3
2014-07-16,1981.6
2014-07-17,1958.1
2014-07-18,1978.2
2014-07-21,1973.6
2014-07-22,1983.5
2014-07-23,1987.0
2014-07-24,1988.0
2014-07-25,1978.3
2014-07-28,1978.9
2014-07-29,1970.0
2014-07-30,1970.1
2014-07-31,1930.7
2014-08-01,1925.2
2014-08-04,1939.0
2014-08-05,1920.2
2014-08-06,1920.2
2014-08-07,1909.6
2014-08-08,1931.6
2014-08-11,1936.9
2014-08-12,1933.8
2014-08-13,1946.7
2014-08-14,1955.2
2014-08-15,1955.1
2014-08-18,1971.7
2014-08-19,1981.6
2014-08-20,1986.5
2014-08-21,1992.4
2014-08-22,1988.4
2014-08-25,1997.9
2014-08-26,2000.0
2014-08-27,2000.1
2014-08-28,1996.7
2014-08-29,2003.4
2014-09-02,2002.3
2014-09-03,2000.7
2014-09-04,1997.7
2014-09-05,2007.7
2014-09-08,2001.5
2014-09-09,1988.4
2014-09-10,1995.7
2014-09-11,1997.5
2014-09-12,1985.5
2014-09-15,1984.1
2014-09-16,1999.0
2014-09-17,2001.6
2014-09-18,2011.4
2014-09-19,2010.4
2014-09-22,1994.3
2014-09-23,1982.8
2014-09-24,1998.3
2014-09-25,1966.0
2014-09-26,1982.8
2014-09-29,1977.8
2014-09-30,1972.3
2014-10-01,1946.2
2014-10-02,1946.2
2014-10-03,1967.9
2014-10-06,1964.8
2014-10-07,1935.1
2014-10-08,1968.9
2014-10-09,1928.2
2014-10-10,1906.1
2014-10-13,1874.7
2014-10-14,1877.7
2014-10-15,1862.5
2014-10-16,1862.8
2014-10-17,1886.8
2014-10-20,1904.0
2014-10-21,1941.3
2014-10-22,1927.1
2014-10-23,1950.8
2014-10-24,1964.6
2014-10-27,1961.6
2014-10-28,1985.0
2014-10-29,1982.3
2014-10-30,1994.7
2014-10-31,2018.0
2014-11-03,2017.8
2014-11-04,2012.1
2014-11-05,2023.6
2014-11-06,2031.2
2014-11-07,2031.9
2014-11-10,2038.3
2014-11-11,2039.7
2014-11-12,2038.2
2014-11-13,2039.3
2014-11-14,2039.8
2014-11-17,2041.3
2014-11-18,2051.8
2014-11-19,2048.7
2014-11-20,2052.8
2014-11-21,2063.5
2014-11-24,2069.4
2014-11-25,2067.0
2014-11-26,2072.8
2014-11-28,2067.6
