Date,Price
2014-03-06,257.63
2014-03-07,257.35
2014-03-10,254.48
2014-03-11,255.49
2014-03-12,251.11
2014-03-13,251.09
2014-03-14,249.02
2014-03-17,250.15
2014-03-18,251.87
2014-03-19,251.32
2014-03-20,248.68
2014-03-21,250.68
2014-03-24,252.31
2014-03-25,251.56
2014-03-26,255.08
2014-03-27,257.26
2014-03-28,257.44
2014-03-31,258.11
2014-04-01,258.95
2014-04-02,259.7
2014-04-03,259.34
2014-04-04,259.47
2014-04-07,259.89
2014-04-08,260.47
2014-04-09,261.21
2014-04-10,262.41
2014-04-11,260.53
2014-04-14,260.51
2014-04-15,259.74
2014-04-16,259.83
2014-04-17,259.66
2014-04-18,261.52
2014-04-21,260.9
2014-04-22,261.55
2014-04-23,261.2
2014-04-24,261.08
2014-04-25,257.42
2014-04-28,256.8
2014-04-29,255.8
2014-04-30,255.33
2014-05-02,255.07
2014-05-07,252.35
2014-05-08,253.84
2014-05-09,254.31
2014-05-12,255.8
2014-05-13,258.4
2014-05-14,262.43
2014-05-15,262.4
2014-05-16,262.97
2014-05-19,263.42
2014-05-20,263.04
2014-05-21,262.4
2014-05-22,263.33
2014-05-23,263.42
2014-05-26,262.33
2014-05-27,260.36
2014-05-28,263.01
2014-05-29,262.57
2014-05-30,259.94
2014-06-02,261.4
2014-06-03,262.22
2014-06-05,260.56
2014-06-09,259.68
2014-06-10,262.64
2014-06-11,262.62
2014-06-12,262.01
2014-06-13,258.75
2014-06-16,259.43
2014-06-17,260.43
2014-06-18,258.7
2014-06-19,258.83
2014-06-20,255.31
2014-06-23,256.77
2014-06-24,259.75
2014-06-25,258.16
2014-06-26,260.03
2014-06-27,258.78
2014-06-30,260.56
2014-07-01,259.74
2014-07-02,262.04
2014-07-03,261.13
2014-07-04,260.63
2014-07-07,259.95
2014-07-08,259.93
2014-07-09,258.87
2014-07-10,259.17
2014-07-11,256.72
2014-07-14,257.27
2014-07-15,260.4
2014-07-16,260.82
2014-07-17,261.93
2014-07-18,261.66
2014-07-21,261.51
2014-07-22,262.86
2014-07-23,262.56
2014-07-24,262.72
2014-07-25,263.47
2014-07-28,265.53
2014-07-29,268.01
2014-07-30,271.17
2014-07-31,269.68
2014-08-01,268.56
2014-08-04,269.65
2014-08-05,267.63
2014-08-06,266.6
2014-08-07,265.64
2014-08-08,262.02
2014-08-11,263.32
2014-08-12,263.34
2014-08-13,265.91
2014-08-14,265.88
2014-08-18,264.24
2014-08-19,266.62
2014-08-20,266.79
2014-08-21,262.53
2014-08-22,264.26
2014-08-25,264.46
2014-08-26,265.14
2014-08-27,265.88
2014-08-28,266.19
2014-08-29,265.41
2014-09-01,265.27
2014-09-02,262.61
2014-09-03,262.27
2014-09-04,263.19
2014-09-05,262.09
2014-09-11,259.8
2014-09-12,261.39
2014-09-15,260.56
2014-09-16,261.45
2014-09-17,264.01
